Name,Barcode,Category,RFID,Price
Marvel Avengers Iron Man Figure,TOY-5901234123456,Action Figures,E28003241B4D419B1B673BD3,24.99
Marvel Avengers Iron Man Figure,TOY-5901234123456,Action Figures,E28003241B4D419B1B673BD4,24.99
DC Batman Deluxe Collectible,TOY-5901234123457,Action Figures,E28003241B4D419B1B673BD5,29.99
Monopoly Classic Edition,TOY-5901234123458,Board Games,E28003241B4D419B1B673BD6,34.99
Catan Strategy Game,TOY-5901234123459,Board Games,E28003241B4D419B1B673BD7,44.99
LEGO City Police Station 1000pc,TOY-5901234123460,Building Sets,E28003241B4D419B1B673BD1,89.99
LEGO City Police Station 1000pc,TOY-5901234123460,Building Sets,E28003241B4D419B1B673BD8,89.99
Mega Bloks Construction Set 500pc,TOY-5901234123461,Building Sets,E28003241B4D419B1B673BD9,54.99
Barbie Fashion Doll with Outfits,TOY-5901234123462,Dolls & Accessories,E28003241B4D419B1B673BDA,19.99
LOL Surprise Doll Series 5,TOY-5901234123463,Dolls & Accessories,E28003241B4D419B1B673BDB,39.99
STEM Coding Robot Set,TOY-5901234123464,Educational Toys,E28003241B4D419B1B673BDC,59.99
Brain Teaser Puzzle Collection,TOY-5901234123465,Educational Toys,E28003241B4D419B1B673BDD,14.99
"Kids Mountain Bike 20"" Red",TOY-5901234123466,Outdoor Toys,E28003241B4D419B1B673BDE,149.99
Razor Kick Scooter Pro,TOY-5901234123467,Outdoor Toys,E28003241B4D419B1B673BDF,79.99
"Squishmallow Axolotl 12""",TOY-5901234123468,Plush Toys,E28003241B4D419B1B673BE0,9.99
Minecraft Creeper Plushie,TOY-5901234123469,Plush Toys,E28003241B4D419B1B673BE1,12.99
DJI Mini 2 Drone,TOY-5901234123470,Remote Control,E28003241B4D419B1B673BE2,299.99
Remote Control Racing Car Speed,TOY-5901234123471,Remote Control,E28003241B4D419B1B673BE3,34.99
Power Wheels Electric Vehicle,TOY-5901234123472,Ride-On Toys,E28003241B4D419B1B673BE4,249.99
Kids Pedal Go-Kart Blue,TOY-5901234123473,Ride-On Toys,E28003241B4D419B1B673BE5,129.99
Pokemon Booster Box 36 Packs,TOY-5901234123474,Trading Cards,E28003241B4D419B1B673BE6,119.99
Yu-Gi-Oh Structure Deck,TOY-5901234123475,Trading Cards,E28003241B4D419B1B673BE7,9.99
Hot Wheels 50-Car Collection,TOY-5901234123476,Vehicle Models,E28003241B4D419B1B673BE8,49.99
Lionel Electric Train Set,TOY-5901234123477,Vehicle Models,E28003241B4D419B1B673BE9,199.99
Xbox Controller Wireless Blue,TOY-5901234123478,Video Game Accessories,E28003241B4D419B1B673BEA,64.99
Gaming Headset with Mic,TOY-5901234123479,Video Game Accessories,E28003241B4D419B1B673BEB,49.99
Deluxe Art Supply Kit 150pc,TOY-5901234123480,Arts & Crafts,E28003241B4D419B1B673BEC,29.99
Pottery Cool Studio Wheel Set,TOY-5901234123481,Arts & Crafts,E28003241B4D419B1B673BED,44.99
Water Table Play Set,TOY-5901234123482,Bath Toys,E28003241B4D419B1B673BEE,39.99
Rubber Duck Collection Pack 12,TOY-5901234123483,Bath Toys,E28003241B4D419B1B673BEF,7.99
Soft Rattle Set 5-Piece,TOY-5901234123484,Infant & Toddler,E28003241B4D419B1B673BF0,19.99
Teething Toy Set with Case,TOY-5901234123485,Infant & Toddler,E28003241B4D419B1B673BF1,14.99
Hot Wheels City Mega Garage,TOY-5901234123486,Hot Wheels Track Sets,E28003241B4D419B1B673BF2,79.99
Hot Wheels Track Builder Set,TOY-5901234123487,Hot Wheels Track Sets,E28003241B4D419B1B673BF3,24.99
Fake Lottery Ticket Prank,TOY-5901234123488,Novelty & Gag Gifts,E28003241B4D419B1B673BF4,4.99
Slime Party Pack 6-Color,TOY-5901234123489,Novelty & Gag Gifts,E28003241B4D419B1B673BF5,12.99
Overstock Action Figure Bundle,TOY-5901234123490,Clearance/Sale Items,E28003241B4D419B1B673BF6,9.99
Last Season Board Game,TOY-5901234123491,Clearance/Sale Items,E28003241B4D419B1B673BF7,14.99
